Pavarde                  Vardas              Galutinis (Vid.)    Galutinis (Med.)    
PavardeNR31535           VardasNR31535       1.80                1.00                
PavardeNR76724           VardasNR76724       1.80                1.80                
PavardeNR19706           VardasNR19706       1.80                1.40                
PavardeNR94642           VardasNR94642       1.80                1.40                
PavardeNR86824           VardasNR86824       1.80                1.40                
PavardeNR95420           VardasNR95420       1.80                1.40                
PavardeNR83674           VardasNR83674       1.80                1.40                
PavardeNR70798           VardasNR70798       1.80                1.80                
PavardeNR40374           VardasNR40374       1.80                1.40                
PavardeNR11758           VardasNR11758       1.80                1.80                
PavardeNR73847           VardasNR73847       1.80                1.80                
PavardeNR72859           VardasNR72859       1.80                1.00                
PavardeNR52373           VardasNR52373       1.80                1.80                
PavardeNR9586            VardasNR9586        1.80                1.00                
PavardeNR13508           VardasNR13508       1.80                1.40                
PavardeNR50910           VardasNR50910       1.80                1.80                
PavardeNR72282           VardasNR72282       1.80                1.40                
PavardeNR48349           VardasNR48349       1.86                1.80                
PavardeNR19468           VardasNR19468       1.86                1.40                
PavardeNR31177           VardasNR31177       1.86                1.40                
PavardeNR36723           VardasNR36723       1.86                1.40                
PavardeNR61493           VardasNR61493       1.86                1.40                
PavardeNR24239           VardasNR24239       1.86                1.40                
PavardeNR61595           VardasNR61595       1.86                2.20                
PavardeNR28234           VardasNR28234       1.86                1.80                
PavardeNR13771           VardasNR13771       1.86                1.40                
PavardeNR18106           VardasNR18106       1.86                1.80                
PavardeNR43296           VardasNR43296       1.86                1.80                
PavardeNR20462           VardasNR20462       1.86                1.40                
PavardeNR66584           VardasNR66584       1.86                2.20                
PavardeNR67546           VardasNR67546       1.86                1.40                
PavardeNR73246           VardasNR73246       1.86                1.40                
PavardeNR4250            VardasNR4250        1.86                1.80                
PavardeNR14007           VardasNR14007       1.86                1.80                
PavardeNR99342           VardasNR99342       1.86                1.40                
PavardeNR12501           VardasNR12501       1.86                1.40                
PavardeNR91903           VardasNR91903       1.86                1.80                
PavardeNR18384           VardasNR18384       1.86                1.80                
PavardeNR47289           VardasNR47289       1.86                1.40                
PavardeNR31003           VardasNR31003       1.86                1.40                
PavardeNR19368           VardasNR19368       1.86                1.80                
PavardeNR58763           VardasNR58763       1.86                1.40                
PavardeNR44618           VardasNR44618       1.86                1.40                
PavardeNR227             VardasNR227         1.86                1.80                
PavardeNR47443           VardasNR47443       1.86                1.80                
PavardeNR86000           VardasNR86000       1.86                1.80                
PavardeNR20395           VardasNR20395       1.86                1.80                
PavardeNR58788           VardasNR58788       1.86                1.80                
PavardeNR20089           VardasNR20089       1.86                1.40                
PavardeNR89803           VardasNR89803       1.86                1.40                
PavardeNR6848            VardasNR6848        1.86                1.80                
PavardeNR85393           VardasNR85393       1.86                1.40                
PavardeNR69001           VardasNR69001       1.86                1.40                
PavardeNR12740           VardasNR12740       1.86                1.40                
PavardeNR52942           VardasNR52942       1.86                1.40                
PavardeNR93315           VardasNR93315       1.86                1.40                
PavardeNR21489           VardasNR21489       1.86                1.40                
PavardeNR70892           VardasNR70892       1.86                1.80                
PavardeNR17092           VardasNR17092       1.86                1.80                
PavardeNR22644           VardasNR22644       1.86                1.40                
PavardeNR36016           VardasNR36016       1.86                1.80                
PavardeNR86598           VardasNR86598       1.86                1.80                
PavardeNR85312           VardasNR85312       1.86                1.80                
PavardeNR70739           VardasNR70739       1.86                1.40                
PavardeNR20044           VardasNR20044       1.86                1.80                
PavardeNR57219           VardasNR57219       1.86                1.80                
PavardeNR64266           VardasNR64266       1.86                2.20                
PavardeNR97684           VardasNR97684       1.86                1.80                
PavardeNR93130           VardasNR93130       1.86                1.80                
PavardeNR6284            VardasNR6284        1.86                1.80                
PavardeNR86700           VardasNR86700       1.86                1.80                
PavardeNR10930           VardasNR10930       1.86                1.40                
PavardeNR34201           VardasNR34201       1.86                1.40                
PavardeNR64390           VardasNR64390       1.86                1.80                
PavardeNR81842           VardasNR81842       1.86                1.80                
PavardeNR92917           VardasNR92917       1.86                1.80                
PavardeNR66164           VardasNR66164       1.86                1.40                
PavardeNR12626           VardasNR12626       1.86                1.40                
PavardeNR6655            VardasNR6655        1.86                2.20                
PavardeNR50214           VardasNR50214       1.86                1.80                
PavardeNR71396           VardasNR71396       1.86                2.20                
PavardeNR16048           VardasNR16048       1.86                1.40                
PavardeNR33068           VardasNR33068       1.86                1.80                
PavardeNR34779           VardasNR34779       1.86                1.40                
PavardeNR15828           VardasNR15828       1.86                1.80                
PavardeNR54838           VardasNR54838       1.89                1.60                
PavardeNR47450           VardasNR47450       1.91                1.80                
PavardeNR46791           VardasNR46791       1.91                1.40                
PavardeNR16907           VardasNR16907       1.91                1.80                
PavardeNR80663           VardasNR80663       1.91                1.80                
PavardeNR84688           VardasNR84688       1.91                1.40                
PavardeNR14209           VardasNR14209       1.91                1.80                
PavardeNR69691           VardasNR69691       1.91                1.40                
PavardeNR23681           VardasNR23681       1.91                1.40                
PavardeNR37027           VardasNR37027       1.91                2.20                
PavardeNR18264           VardasNR18264       1.91                1.80                
PavardeNR32414           VardasNR32414       1.91                1.80                
PavardeNR14178           VardasNR14178       1.91                1.80                
PavardeNR12638           VardasNR12638       1.91                1.80                
PavardeNR2551            VardasNR2551        1.91                1.80                
PavardeNR34317           VardasNR34317       1.91                1.80                
PavardeNR97467           VardasNR97467       1.91                1.80                
PavardeNR28127           VardasNR28127       1.91                1.80                
PavardeNR76412           VardasNR76412       1.91                2.20                
PavardeNR66954           VardasNR66954       1.91                1.40                
PavardeNR73046           VardasNR73046       1.91                1.80                
PavardeNR87631           VardasNR87631       1.91                1.40                
PavardeNR61051           VardasNR61051       1.91                1.80                
PavardeNR22530           VardasNR22530       1.91                1.80                
PavardeNR88805           VardasNR88805       1.91                1.00                
PavardeNR28928           VardasNR28928       1.91                1.80                
PavardeNR25873           VardasNR25873       1.91                1.40                
PavardeNR99403           VardasNR99403       1.91                1.80                
PavardeNR92864           VardasNR92864       1.91                1.80                
PavardeNR62161           VardasNR62161       1.91                1.40                
PavardeNR51005           VardasNR51005       1.91                1.40                
PavardeNR82080           VardasNR82080       1.91                1.40                
PavardeNR19159           VardasNR19159       1.91                1.80                
PavardeNR83411           VardasNR83411       1.91                1.40                
PavardeNR23583           VardasNR23583       1.91                1.80                
PavardeNR38390           VardasNR38390       1.91                2.20                
PavardeNR89697           VardasNR89697       1.91                1.80                
PavardeNR30144           VardasNR30144       1.91                1.40                
PavardeNR59472           VardasNR59472       1.91                1.80                
PavardeNR69189           VardasNR69189       1.91                2.20                
PavardeNR98088           VardasNR98088       1.91                1.40                
PavardeNR88026           VardasNR88026       1.91                1.80                
PavardeNR96449           VardasNR96449       1.91                2.20                
PavardeNR10130           VardasNR10130       1.91                1.80                
PavardeNR56249           VardasNR56249       1.91                1.80                
PavardeNR54280           VardasNR54280       1.91                1.40                
PavardeNR48383           VardasNR48383       1.91                1.80                
PavardeNR75472           VardasNR75472       1.91                1.80                
PavardeNR7777            VardasNR7777        1.91                1.40                
PavardeNR29870           VardasNR29870       1.91                1.80                
PavardeNR45566           VardasNR45566       1.91                1.80                
PavardeNR60110           VardasNR60110       1.91                1.40                
PavardeNR54786           VardasNR54786       1.91                1.40                
PavardeNR22322           VardasNR22322       1.91                1.40                
PavardeNR85457           VardasNR85457       1.91                1.40                
PavardeNR46745           VardasNR46745       1.91                1.80                
PavardeNR19863           VardasNR19863       1.91                1.80                
PavardeNR70634           VardasNR70634       1.91                1.80                
PavardeNR30708           VardasNR30708       1.91                2.20                
PavardeNR44877           VardasNR44877       1.91                1.80                
PavardeNR30698           VardasNR30698       1.91                1.40                
PavardeNR27874           VardasNR27874       1.91                1.80                
PavardeNR22039           VardasNR22039       1.91                1.40                
PavardeNR99066           VardasNR99066       1.91                1.80                
PavardeNR70722           VardasNR70722       1.91                1.80                
PavardeNR71797           VardasNR71797       1.91                1.80                
PavardeNR17033           VardasNR17033       1.91                1.80                
PavardeNR41249           VardasNR41249       1.91                1.40                
PavardeNR64049           VardasNR64049       1.91                1.80                
PavardeNR94168           VardasNR94168       1.91                1.80                
PavardeNR61452           VardasNR61452       1.91                1.40                
PavardeNR8133            VardasNR8133        1.91                1.80                
PavardeNR14344           VardasNR14344       1.91                1.80                
PavardeNR82281           VardasNR82281       1.91                1.80                
PavardeNR21806           VardasNR21806       1.91                1.80                
PavardeNR65839           VardasNR65839       1.91                1.80                
PavardeNR44133           VardasNR44133       1.91                1.80                
PavardeNR65976           VardasNR65976       1.91                2.20                
PavardeNR47895           VardasNR47895       1.91                1.80                
PavardeNR36495           VardasNR36495       1.91                2.20                
PavardeNR66025           VardasNR66025       1.91                1.80                
PavardeNR48018           VardasNR48018       1.91                1.80                
PavardeNR31505           VardasNR31505       1.91                1.40                
PavardeNR7510            VardasNR7510        1.91                2.20                
PavardeNR75008           VardasNR75008       1.94                1.60                
PavardeNR82941           VardasNR82941       1.97                1.40                
PavardeNR43782           VardasNR43782       1.97                2.20                
PavardeNR81149           VardasNR81149       1.97                1.40                
PavardeNR45552           VardasNR45552       1.97                1.40                
PavardeNR68868           VardasNR68868       1.97                1.80                
PavardeNR21940           VardasNR21940       1.97                1.40                
PavardeNR79563           VardasNR79563       1.97                1.40                
PavardeNR61569           VardasNR61569       1.97                1.80                
PavardeNR14582           VardasNR14582       1.97                1.80                
PavardeNR88276           VardasNR88276       1.97                2.20                
PavardeNR58716           VardasNR58716       1.97                1.80                
PavardeNR16576           VardasNR16576       1.97                1.40                
PavardeNR61128           VardasNR61128       1.97                2.20                
PavardeNR76572           VardasNR76572       1.97                1.80                
PavardeNR83030           VardasNR83030       1.97                1.80                
PavardeNR9477            VardasNR9477        1.97                2.20                
PavardeNR78579           VardasNR78579       1.97                1.00                
PavardeNR98312           VardasNR98312       1.97                1.40                
PavardeNR35625           VardasNR35625       1.97                1.80                
PavardeNR64720           VardasNR64720       1.97                1.80                
PavardeNR15071           VardasNR15071       1.97                1.80                
PavardeNR66760           VardasNR66760       1.97                1.40                
PavardeNR12954           VardasNR12954       1.97                1.40                
PavardeNR90182           VardasNR90182       1.97                1.40                
PavardeNR2080            VardasNR2080        1.97                1.40                
PavardeNR52033           VardasNR52033       1.97                1.80                
PavardeNR32050           VardasNR32050       1.97                1.80                
PavardeNR78743           VardasNR78743       1.97                1.40                
PavardeNR6936            VardasNR6936        1.97                1.80                
PavardeNR95813           VardasNR95813       1.97                1.80                
PavardeNR65194           VardasNR65194       1.97                1.80                
PavardeNR90852           VardasNR90852       1.97                1.80                
PavardeNR44298           VardasNR44298       1.97                1.80                
PavardeNR40703           VardasNR40703       1.97                1.80                
PavardeNR94285           VardasNR94285       1.97                1.80                
PavardeNR16924           VardasNR16924       1.97                1.80                
PavardeNR55735           VardasNR55735       1.97                2.20                
PavardeNR98532           VardasNR98532       1.97                1.40                
PavardeNR36443           VardasNR36443       1.97                1.80                
PavardeNR79809           VardasNR79809       1.97                1.40                
PavardeNR56364           VardasNR56364       1.97                1.80                
PavardeNR14157           VardasNR14157       1.97                1.80                
PavardeNR8069            VardasNR8069        1.97                1.40                
PavardeNR2161            VardasNR2161        1.97                1.40                
PavardeNR29369           VardasNR29369       1.97                1.40                
PavardeNR86351           VardasNR86351       1.97                1.80                
PavardeNR82413           VardasNR82413       1.97                1.80                
PavardeNR39874           VardasNR39874       1.97                1.80                
PavardeNR10126           VardasNR10126       1.97                1.80                
PavardeNR51708           VardasNR51708       1.97                1.40                
PavardeNR73948           VardasNR73948       1.97                1.80                
PavardeNR45316           VardasNR45316       1.97                1.80                
PavardeNR11284           VardasNR11284       1.97                1.80                
PavardeNR57144           VardasNR57144       1.97                1.80                
PavardeNR16684           VardasNR16684       1.97                1.80                
PavardeNR41050           VardasNR41050       1.97                1.80                
PavardeNR99688           VardasNR99688       1.97                1.40                
PavardeNR41741           VardasNR41741       1.97                1.40                
PavardeNR82950           VardasNR82950       1.97                2.20                
PavardeNR25700           VardasNR25700       1.97                1.40                
PavardeNR47042           VardasNR47042       1.97                1.40                
PavardeNR85397           VardasNR85397       1.97                1.80                
PavardeNR77697           VardasNR77697       1.97                1.80                
PavardeNR1279            VardasNR1279        1.97                1.80                
PavardeNR85795           VardasNR85795       1.97                1.80                
PavardeNR94875           VardasNR94875       1.97                1.80                
PavardeNR2302            VardasNR2302        1.97                1.80                
PavardeNR28932           VardasNR28932       1.97                1.80                
PavardeNR88856           VardasNR88856       1.97                1.40                
PavardeNR84385           VardasNR84385       1.97                1.80                
PavardeNR64001           VardasNR64001       1.97                1.80                
PavardeNR54888           VardasNR54888       1.97                2.20                
PavardeNR57592           VardasNR57592       1.97                1.40                
PavardeNR70588           VardasNR70588       1.97                1.40                
PavardeNR65173           VardasNR65173       1.97                1.40                
PavardeNR99737           VardasNR99737       1.97                1.80                
PavardeNR58824           VardasNR58824       1.97                1.40                
PavardeNR73658           VardasNR73658       1.97                1.80                
PavardeNR69833           VardasNR69833       1.97                1.40                
PavardeNR24613           VardasNR24613       1.97                1.80                
PavardeNR51504           VardasNR51504       1.97                1.40                
PavardeNR32921           VardasNR32921       1.97                2.20                
PavardeNR80700           VardasNR80700       1.97                1.80                
PavardeNR91966           VardasNR91966       1.97                1.80                
PavardeNR96335           VardasNR96335       2.00                2.00                
PavardeNR17019           VardasNR17019       2.03                1.40                
PavardeNR56734           VardasNR56734       2.03                1.80                
PavardeNR88991           VardasNR88991       2.03                2.20                
PavardeNR6986            VardasNR6986        2.03                1.80                
PavardeNR12673           VardasNR12673       2.03                2.20                
PavardeNR69479           VardasNR69479       2.03                1.40                
PavardeNR94609           VardasNR94609       2.03                2.20                
PavardeNR38378           VardasNR38378       2.03                1.80                
PavardeNR24840           VardasNR24840       2.03                1.80                
PavardeNR52967           VardasNR52967       2.03                1.80                
PavardeNR75878           VardasNR75878       2.03                1.40                
PavardeNR28504           VardasNR28504       2.03                1.80                
PavardeNR31081           VardasNR31081       2.03                1.80                
PavardeNR71347           VardasNR71347       2.03                1.80                
PavardeNR12273           VardasNR12273       2.03                1.80                
PavardeNR63895           VardasNR63895       2.03                2.20                
PavardeNR88228           VardasNR88228       2.03                1.00                
PavardeNR62837           VardasNR62837       2.03                2.20                
PavardeNR2939            VardasNR2939        2.03                1.40                
PavardeNR96627           VardasNR96627       2.03                2.20                
PavardeNR41087           VardasNR41087       2.03                1.80                
PavardeNR29071           VardasNR29071       2.03                1.80                
PavardeNR91913           VardasNR91913       2.03                2.20                
PavardeNR72294           VardasNR72294       2.03                1.40                
PavardeNR28874           VardasNR28874       2.03                2.20                
PavardeNR93              VardasNR93          2.03                1.80                
PavardeNR74569           VardasNR74569       2.03                2.20                
PavardeNR26105           VardasNR26105       2.03                1.40                
PavardeNR17216           VardasNR17216       2.03                1.80                
PavardeNR85399           VardasNR85399       2.03                1.80                
PavardeNR92459           VardasNR92459       2.03                1.40                
PavardeNR38575           VardasNR38575       2.03                1.80                
PavardeNR42190           VardasNR42190       2.03                1.80                
PavardeNR2521            VardasNR2521        2.03                1.80                
PavardeNR89367           VardasNR89367       2.03                1.80                
PavardeNR19699           VardasNR19699       2.03                2.60                
PavardeNR90739           VardasNR90739       2.03                1.40                
PavardeNR15180           VardasNR15180       2.03                2.20                
PavardeNR29699           VardasNR29699       2.03                1.40                
PavardeNR93914           VardasNR93914       2.03                1.40                
PavardeNR56043           VardasNR56043       2.03                1.80                
PavardeNR83591           VardasNR83591       2.03                2.20                
PavardeNR59245           VardasNR59245       2.03                1.80                
PavardeNR22639           VardasNR22639       2.03                2.20                
PavardeNR86922           VardasNR86922       2.03                1.80                
PavardeNR98974           VardasNR98974       2.03                1.40                
PavardeNR46662           VardasNR46662       2.03                1.40                
PavardeNR93410           VardasNR93410       2.03                1.80                
PavardeNR8457            VardasNR8457        2.03                1.40                
PavardeNR42695           VardasNR42695       2.03                1.80                
PavardeNR63571           VardasNR63571       2.03                1.40                
PavardeNR151             VardasNR151         2.03                2.20                
PavardeNR19430           VardasNR19430       2.03                1.80                
PavardeNR97242           VardasNR97242       2.03                1.80                
PavardeNR88045           VardasNR88045       2.03                1.80                
PavardeNR86008           VardasNR86008       2.03                1.00                
PavardeNR50081           VardasNR50081       2.03                1.80                
PavardeNR29552           VardasNR29552       2.03                1.40                
PavardeNR58577           VardasNR58577       2.03                1.80                
PavardeNR70364           VardasNR70364       2.03                1.80                
PavardeNR32853           VardasNR32853       2.03                1.80                
PavardeNR29883           VardasNR29883       2.03                1.80                
PavardeNR44016           VardasNR44016       2.03                1.80                
PavardeNR65726           VardasNR65726       2.03                1.80                
PavardeNR87542           VardasNR87542       2.03                1.80                
PavardeNR50951           VardasNR50951       2.03                1.00                
PavardeNR15598           VardasNR15598       2.03                1.40                
PavardeNR49630           VardasNR49630       2.03                1.80                
PavardeNR61108           VardasNR61108       2.03                2.20                
PavardeNR83208           VardasNR83208       2.03                1.80                
PavardeNR10611           VardasNR10611       2.03                2.20                
PavardeNR36129           VardasNR36129       2.03                1.40                
PavardeNR77435           VardasNR77435       2.03                2.20                
PavardeNR81189           VardasNR81189       2.03                2.20                
PavardeNR63635           VardasNR63635       2.03                1.80                
PavardeNR68095           VardasNR68095       2.03                1.40                
PavardeNR28525           VardasNR28525       2.03                1.80                
PavardeNR79489           VardasNR79489       2.03                1.40                
PavardeNR47629           VardasNR47629       2.03                1.80                
PavardeNR66994           VardasNR66994       2.03                1.80                
PavardeNR2151            VardasNR2151        2.03                2.20                
PavardeNR12432           VardasNR12432       2.03                1.00                
PavardeNR26534           VardasNR26534       2.03                2.20                
PavardeNR52435           VardasNR52435       2.03                1.80                
PavardeNR98611           VardasNR98611       2.03                2.20                
PavardeNR32304           VardasNR32304       2.03                1.80                
PavardeNR67223           VardasNR67223       2.03                1.80                
PavardeNR58322           VardasNR58322       2.03                2.20                
PavardeNR53985           VardasNR53985       2.03                1.40                
PavardeNR56855           VardasNR56855       2.03                1.80                
PavardeNR64209           VardasNR64209       2.03                1.40                
PavardeNR10025           VardasNR10025       2.03                1.80                
PavardeNR34359           VardasNR34359       2.03                1.80                
PavardeNR74347           VardasNR74347       2.03                1.80                
PavardeNR2595            VardasNR2595        2.03                1.80                
PavardeNR87048           VardasNR87048       2.03                2.20                
PavardeNR66881           VardasNR66881       2.03                2.20                
PavardeNR63763           VardasNR63763       2.03                1.40                
PavardeNR83106           VardasNR83106       2.03                2.20                
PavardeNR64274           VardasNR64274       2.03                2.20                
PavardeNR65891           VardasNR65891       2.03                1.80                
PavardeNR20039           VardasNR20039       2.06                2.00                
PavardeNR83276           VardasNR83276       2.06                2.00                
PavardeNR58315           VardasNR58315       2.06                2.00                
PavardeNR46906           VardasNR46906       2.06                2.00                
PavardeNR51658           VardasNR51658       2.09                1.40                
PavardeNR2379            VardasNR2379        2.09                2.20                
PavardeNR17996           VardasNR17996       2.09                2.20                
PavardeNR57304           VardasNR57304       2.09                1.40                
PavardeNR66694           VardasNR66694       2.09                1.80                
PavardeNR93761           VardasNR93761       2.09                1.40                
PavardeNR30109           VardasNR30109       2.09                1.80                
PavardeNR71679           VardasNR71679       2.09                1.80                
PavardeNR6512            VardasNR6512        2.09                1.40                
PavardeNR32633           VardasNR32633       2.09                1.80                
PavardeNR98767           VardasNR98767       2.09                2.20                
PavardeNR87079           VardasNR87079       2.09                1.80                
PavardeNR28792           VardasNR28792       2.09                1.80                
PavardeNR8169            VardasNR8169        2.09                1.80                
PavardeNR47089           VardasNR47089       2.09                1.40                
PavardeNR12455           VardasNR12455       2.09                1.40                
PavardeNR54251           VardasNR54251       2.09                1.40                
PavardeNR51672           VardasNR51672       2.09                1.40                
PavardeNR43431           VardasNR43431       2.09                1.80                
PavardeNR4197            VardasNR4197        2.09                1.80                
PavardeNR13807           VardasNR13807       2.09                1.80                
PavardeNR55153           VardasNR55153       2.09                1.80                
PavardeNR25748           VardasNR25748       2.09                1.80                
PavardeNR2010            VardasNR2010        2.09                1.40                
PavardeNR4951            VardasNR4951        2.09                1.40                
PavardeNR47020           VardasNR47020       2.09                1.40                
PavardeNR75422           VardasNR75422       2.09                1.80                
PavardeNR28549           VardasNR28549       2.09                2.20                
PavardeNR74856           VardasNR74856       2.09                1.80                
PavardeNR96467           VardasNR96467       2.09                2.20                
PavardeNR16108           VardasNR16108       2.09                2.20                
PavardeNR47315           VardasNR47315       2.09                1.80                
PavardeNR94851           VardasNR94851       2.09                2.20                
PavardeNR92271           VardasNR92271       2.09                1.80                
PavardeNR36414           VardasNR36414       2.09                1.40                
PavardeNR52353           VardasNR52353       2.09                1.80                
PavardeNR84473           VardasNR84473       2.09                1.80                
PavardeNR78485           VardasNR78485       2.09                1.80                
PavardeNR83959           VardasNR83959       2.09                1.80                
PavardeNR55300           VardasNR55300       2.09                1.40                
PavardeNR42011           VardasNR42011       2.09                1.80                
PavardeNR54439           VardasNR54439       2.09                2.20                
PavardeNR98531           VardasNR98531       2.09                1.80                
PavardeNR4928            VardasNR4928        2.09                1.80                
PavardeNR71159           VardasNR71159       2.09                1.80                
PavardeNR21641           VardasNR21641       2.09                1.80                
PavardeNR92313           VardasNR92313       2.09                2.20                
PavardeNR96165           VardasNR96165       2.09                2.20                
PavardeNR65427           VardasNR65427       2.09                2.20                
PavardeNR22151           VardasNR22151       2.09                1.80                
PavardeNR93661           VardasNR93661       2.09                2.20                
PavardeNR84416           VardasNR84416       2.09                1.40                
PavardeNR67778           VardasNR67778       2.09                2.20                
PavardeNR7751            VardasNR7751        2.09                1.80                
PavardeNR56819           VardasNR56819       2.09                1.80                
PavardeNR15932           VardasNR15932       2.09                2.20                
