Pavarde                  Vardas              Galutinis (Vid.)    Galutinis (Med.)    
PavardeNR24984           VardasNR24984       5.00                4.60                
PavardeNR70701           VardasNR70701       5.00                5.00                
PavardeNR84215           VardasNR84215       5.00                5.40                
PavardeNR32776           VardasNR32776       5.00                5.00                
PavardeNR36559           VardasNR36559       5.00                5.40                
PavardeNR47753           VardasNR47753       5.00                5.00                
PavardeNR91608           VardasNR91608       5.00                4.60                
PavardeNR7266            VardasNR7266        5.00                5.40                
PavardeNR38741           VardasNR38741       5.00                5.00                
PavardeNR46842           VardasNR46842       5.00                5.40                
PavardeNR11391           VardasNR11391       5.00                5.00                
PavardeNR93428           VardasNR93428       5.00                5.00                
PavardeNR32910           VardasNR32910       5.00                5.40                
PavardeNR24180           VardasNR24180       5.00                4.60                
PavardeNR17659           VardasNR17659       5.00                4.60                
PavardeNR22117           VardasNR22117       5.00                4.60                
PavardeNR78262           VardasNR78262       5.00                3.80                
PavardeNR55184           VardasNR55184       5.00                5.00                
PavardeNR94021           VardasNR94021       5.00                5.00                
PavardeNR52467           VardasNR52467       5.00                5.00                
PavardeNR17780           VardasNR17780       5.00                4.60                
PavardeNR45140           VardasNR45140       5.00                5.00                
PavardeNR66221           VardasNR66221       5.00                4.60                
PavardeNR91568           VardasNR91568       5.00                4.60                
PavardeNR35664           VardasNR35664       5.00                4.60                
PavardeNR94016           VardasNR94016       5.00                4.60                
PavardeNR20200           VardasNR20200       5.00                5.00                
PavardeNR51712           VardasNR51712       5.00                4.60                
PavardeNR1707            VardasNR1707        5.00                5.40                
PavardeNR69669           VardasNR69669       5.00                5.00                
PavardeNR10173           VardasNR10173       5.00                4.60                
PavardeNR56537           VardasNR56537       5.00                5.40                
PavardeNR12228           VardasNR12228       5.00                4.60                
PavardeNR81956           VardasNR81956       5.00                5.00                
PavardeNR26876           VardasNR26876       5.00                5.00                
PavardeNR3679            VardasNR3679        5.00                5.40                
PavardeNR97157           VardasNR97157       5.00                5.40                
PavardeNR61086           VardasNR61086       5.00                4.60                
PavardeNR77850           VardasNR77850       5.00                5.00                
PavardeNR47000           VardasNR47000       5.00                5.00                
PavardeNR97160           VardasNR97160       5.00                5.40                
PavardeNR93638           VardasNR93638       5.00                4.60                
PavardeNR81367           VardasNR81367       5.00                5.00                
PavardeNR71803           VardasNR71803       5.00                5.00                
PavardeNR13134           VardasNR13134       5.00                5.40                
PavardeNR60123           VardasNR60123       5.00                5.40                
PavardeNR65203           VardasNR65203       5.00                5.00                
PavardeNR77630           VardasNR77630       5.00                4.60                
PavardeNR56103           VardasNR56103       5.00                5.00                
PavardeNR18364           VardasNR18364       5.00                4.60                
PavardeNR2291            VardasNR2291        5.00                5.00                
PavardeNR81969           VardasNR81969       5.00                4.60                
PavardeNR8480            VardasNR8480        5.00                5.00                
PavardeNR81972           VardasNR81972       5.00                5.00                
PavardeNR36453           VardasNR36453       5.00                5.00                
PavardeNR9858            VardasNR9858        5.00                5.40                
PavardeNR92247           VardasNR92247       5.00                4.20                
PavardeNR19547           VardasNR19547       5.00                5.00                
PavardeNR19125           VardasNR19125       5.00                5.00                
PavardeNR95656           VardasNR95656       5.00                5.00                
PavardeNR15351           VardasNR15351       5.00                4.60                
PavardeNR92989           VardasNR92989       5.00                4.60                
PavardeNR99271           VardasNR99271       5.00                4.60                
PavardeNR20275           VardasNR20275       5.00                5.40                
PavardeNR54270           VardasNR54270       5.00                5.00                
PavardeNR85192           VardasNR85192       5.00                5.40                
PavardeNR14604           VardasNR14604       5.00                5.00                
PavardeNR19526           VardasNR19526       5.00                5.40                
PavardeNR66893           VardasNR66893       5.00                4.60                
PavardeNR88804           VardasNR88804       5.00                5.00                
PavardeNR63864           VardasNR63864       5.00                4.60                
PavardeNR16703           VardasNR16703       5.00                4.60                
PavardeNR38291           VardasNR38291       5.00                5.00                
PavardeNR56027           VardasNR56027       5.00                4.60                
PavardeNR66923           VardasNR66923       5.00                5.40                
PavardeNR47423           VardasNR47423       5.00                5.00                
PavardeNR25732           VardasNR25732       5.00                5.80                
PavardeNR12226           VardasNR12226       5.00                5.00                
PavardeNR85200           VardasNR85200       5.00                4.60                
PavardeNR51075           VardasNR51075       5.00                5.00                
PavardeNR21766           VardasNR21766       5.00                5.00                
PavardeNR1588            VardasNR1588        5.00                5.40                
PavardeNR86640           VardasNR86640       5.00                5.00                
PavardeNR81403           VardasNR81403       5.00                5.00                
PavardeNR70258           VardasNR70258       5.00                4.60                
PavardeNR46295           VardasNR46295       5.00                5.00                
PavardeNR34920           VardasNR34920       5.00                4.20                
PavardeNR4568            VardasNR4568        5.00                4.60                
PavardeNR93139           VardasNR93139       5.00                4.20                
PavardeNR31511           VardasNR31511       5.00                5.00                
PavardeNR15307           VardasNR15307       5.00                5.00                
PavardeNR830             VardasNR830         5.00                5.00                
PavardeNR54504           VardasNR54504       5.00                4.60                
PavardeNR61183           VardasNR61183       5.00                4.60                
PavardeNR61200           VardasNR61200       5.00                4.60                
PavardeNR48923           VardasNR48923       5.00                4.20                
PavardeNR44358           VardasNR44358       5.00                5.40                
PavardeNR70231           VardasNR70231       5.00                5.00                
PavardeNR89378           VardasNR89378       5.00                5.00                
PavardeNR75445           VardasNR75445       5.00                5.00                
PavardeNR24645           VardasNR24645       5.00                4.60                
PavardeNR21833           VardasNR21833       5.00                4.60                
PavardeNR47482           VardasNR47482       5.00                5.00                
PavardeNR15309           VardasNR15309       5.00                5.00                
PavardeNR18352           VardasNR18352       5.00                5.40                
PavardeNR23113           VardasNR23113       5.00                5.40                
PavardeNR74980           VardasNR74980       5.00                5.00                
PavardeNR14023           VardasNR14023       5.00                4.20                
PavardeNR52174           VardasNR52174       5.00                4.60                
PavardeNR48105           VardasNR48105       5.00                4.60                
PavardeNR39002           VardasNR39002       5.00                4.60                
PavardeNR94950           VardasNR94950       5.00                5.40                
PavardeNR25519           VardasNR25519       5.00                5.00                
PavardeNR24548           VardasNR24548       5.00                5.00                
PavardeNR39010           VardasNR39010       5.00                5.00                
PavardeNR97193           VardasNR97193       5.00                4.20                
PavardeNR74578           VardasNR74578       5.00                5.00                
PavardeNR24717           VardasNR24717       5.00                5.00                
PavardeNR39012           VardasNR39012       5.00                5.00                
PavardeNR87381           VardasNR87381       5.00                5.00                
PavardeNR42448           VardasNR42448       5.00                4.60                
PavardeNR85280           VardasNR85280       5.00                4.60                
PavardeNR63197           VardasNR63197       5.00                4.60                
PavardeNR93081           VardasNR93081       5.00                5.00                
PavardeNR44263           VardasNR44263       5.00                4.60                
PavardeNR12326           VardasNR12326       5.00                5.00                
PavardeNR65893           VardasNR65893       5.00                4.60                
PavardeNR25554           VardasNR25554       5.00                5.00                
PavardeNR7334            VardasNR7334        5.00                5.00                
PavardeNR72756           VardasNR72756       5.00                5.00                
PavardeNR32421           VardasNR32421       5.00                5.40                
PavardeNR44269           VardasNR44269       5.00                5.00                
PavardeNR7453            VardasNR7453        5.00                5.40                
PavardeNR70612           VardasNR70612       5.00                5.00                
PavardeNR34567           VardasNR34567       5.00                4.20                
PavardeNR65706           VardasNR65706       5.00                5.00                
PavardeNR8519            VardasNR8519        5.00                5.00                
PavardeNR61466           VardasNR61466       5.00                4.20                
PavardeNR75862           VardasNR75862       5.00                5.00                
PavardeNR85141           VardasNR85141       5.00                5.00                
PavardeNR72478           VardasNR72478       5.00                5.40                
PavardeNR14343           VardasNR14343       5.00                5.00                
PavardeNR94443           VardasNR94443       5.00                5.40                
PavardeNR13116           VardasNR13116       5.00                5.40                
PavardeNR32669           VardasNR32669       5.00                4.60                
PavardeNR90817           VardasNR90817       5.00                5.00                
PavardeNR88153           VardasNR88153       5.00                4.60                
PavardeNR42258           VardasNR42258       5.00                5.40                
PavardeNR7852            VardasNR7852        5.00                5.40                
PavardeNR38863           VardasNR38863       5.00                4.20                
PavardeNR84184           VardasNR84184       5.00                5.40                
PavardeNR14197           VardasNR14197       5.00                5.00                
PavardeNR21060           VardasNR21060       5.00                5.00                
PavardeNR26933           VardasNR26933       5.00                5.40                
PavardeNR89427           VardasNR89427       5.00                4.20                
PavardeNR16413           VardasNR16413       5.00                4.60                
PavardeNR79185           VardasNR79185       5.00                4.20                
PavardeNR71770           VardasNR71770       5.00                5.40                
PavardeNR3829            VardasNR3829        5.00                5.00                
PavardeNR13674           VardasNR13674       5.00                5.00                
PavardeNR97598           VardasNR97598       5.00                5.00                
PavardeNR34578           VardasNR34578       5.00                5.00                
PavardeNR47664           VardasNR47664       5.00                5.00                
PavardeNR63319           VardasNR63319       5.00                5.00                
PavardeNR47659           VardasNR47659       5.00                4.20                
PavardeNR43923           VardasNR43923       5.00                4.20                
PavardeNR39364           VardasNR39364       5.00                4.60                
PavardeNR75688           VardasNR75688       5.00                5.00                
PavardeNR58961           VardasNR58961       5.00                5.00                
PavardeNR15647           VardasNR15647       5.00                5.00                
PavardeNR90702           VardasNR90702       5.00                5.00                
PavardeNR85782           VardasNR85782       5.00                4.60                
PavardeNR68329           VardasNR68329       5.00                4.20                
PavardeNR625             VardasNR625         5.00                5.00                
PavardeNR93280           VardasNR93280       5.00                5.40                
PavardeNR43946           VardasNR43946       5.00                5.00                
PavardeNR62848           VardasNR62848       5.00                5.00                
PavardeNR95525           VardasNR95525       5.00                5.40                
PavardeNR84199           VardasNR84199       5.00                5.00                
PavardeNR89992           VardasNR89992       5.00                5.80                
PavardeNR94990           VardasNR94990       5.00                4.60                
PavardeNR48131           VardasNR48131       5.00                5.40                
PavardeNR43957           VardasNR43957       5.00                4.60                
PavardeNR34993           VardasNR34993       5.00                5.00                
PavardeNR7974            VardasNR7974        5.00                3.80                
PavardeNR98947           VardasNR98947       5.00                5.00                
PavardeNR74671           VardasNR74671       5.00                4.20                
PavardeNR15141           VardasNR15141       5.00                4.60                
PavardeNR77496           VardasNR77496       5.00                5.40                
PavardeNR73940           VardasNR73940       5.00                5.40                
PavardeNR22474           VardasNR22474       5.00                5.00                
PavardeNR74999           VardasNR74999       5.00                5.00                
PavardeNR72313           VardasNR72313       5.00                5.00                
PavardeNR91690           VardasNR91690       5.00                4.20                
PavardeNR33764           VardasNR33764       5.00                4.20                
PavardeNR18979           VardasNR18979       5.00                4.60                
PavardeNR97092           VardasNR97092       5.00                4.60                
PavardeNR15355           VardasNR15355       5.00                5.40                
PavardeNR49492           VardasNR49492       5.00                5.00                
PavardeNR55943           VardasNR55943       5.00                5.00                
PavardeNR63262           VardasNR63262       5.00                5.40                
PavardeNR16735           VardasNR16735       5.00                5.00                
PavardeNR56666           VardasNR56666       5.00                5.00                
PavardeNR78658           VardasNR78658       5.00                4.60                
PavardeNR47402           VardasNR47402       5.00                5.00                
PavardeNR61050           VardasNR61050       5.00                5.00                
PavardeNR72328           VardasNR72328       5.00                5.00                
PavardeNR42444           VardasNR42444       5.00                4.60                
PavardeNR25449           VardasNR25449       5.00                4.60                
PavardeNR44733           VardasNR44733       5.00                5.00                
PavardeNR28269           VardasNR28269       5.00                5.40                
PavardeNR22213           VardasNR22213       5.00                5.00                
PavardeNR48196           VardasNR48196       5.00                4.20                
PavardeNR28762           VardasNR28762       5.00                5.00                
PavardeNR21063           VardasNR21063       5.00                4.60                
PavardeNR77434           VardasNR77434       5.00                5.00                
PavardeNR25854           VardasNR25854       5.00                5.00                
PavardeNR7727            VardasNR7727        5.00                5.40                
PavardeNR72685           VardasNR72685       5.00                4.60                
PavardeNR44028           VardasNR44028       5.00                4.60                
PavardeNR12156           VardasNR12156       5.00                5.40                
PavardeNR3500            VardasNR3500        5.00                5.00                
PavardeNR79263           VardasNR79263       5.00                4.60                
PavardeNR84422           VardasNR84422       5.00                4.20                
PavardeNR7972            VardasNR7972        5.00                4.60                
PavardeNR19566           VardasNR19566       5.00                4.20                
PavardeNR4617            VardasNR4617        5.00                4.60                
PavardeNR24857           VardasNR24857       5.00                5.00                
PavardeNR76336           VardasNR76336       5.00                5.80                
PavardeNR39276           VardasNR39276       5.00                5.40                
PavardeNR40239           VardasNR40239       5.00                4.60                
PavardeNR78617           VardasNR78617       5.00                5.00                
PavardeNR91868           VardasNR91868       5.00                5.80                
PavardeNR43079           VardasNR43079       5.00                4.60                
PavardeNR15469           VardasNR15469       5.00                5.40                
PavardeNR30865           VardasNR30865       5.00                5.40                
PavardeNR887             VardasNR887         5.00                5.00                
PavardeNR28156           VardasNR28156       5.00                4.60                
PavardeNR40791           VardasNR40791       5.00                5.00                
PavardeNR84773           VardasNR84773       5.00                4.60                
PavardeNR96004           VardasNR96004       5.00                5.80                
PavardeNR90581           VardasNR90581       5.00                5.00                
PavardeNR15755           VardasNR15755       5.00                4.20                
PavardeNR21404           VardasNR21404       5.00                4.20                
PavardeNR17951           VardasNR17951       5.00                4.60                
PavardeNR26773           VardasNR26773       5.00                5.40                
PavardeNR57687           VardasNR57687       5.00                5.00                
PavardeNR76443           VardasNR76443       5.00                5.00                
PavardeNR41488           VardasNR41488       5.00                5.00                
PavardeNR66485           VardasNR66485       5.00                5.00                
PavardeNR92038           VardasNR92038       5.00                4.60                
PavardeNR17939           VardasNR17939       5.00                5.00                
PavardeNR18004           VardasNR18004       5.00                5.00                
PavardeNR46051           VardasNR46051       5.00                4.20                
PavardeNR15500           VardasNR15500       5.00                5.00                
PavardeNR71666           VardasNR71666       5.00                5.00                
PavardeNR96750           VardasNR96750       5.00                5.40                
PavardeNR95151           VardasNR95151       5.00                4.60                
PavardeNR13968           VardasNR13968       5.00                5.00                
PavardeNR86806           VardasNR86806       5.00                5.00                
PavardeNR86825           VardasNR86825       5.00                5.00                
PavardeNR57652           VardasNR57652       5.00                5.00                
PavardeNR71244           VardasNR71244       5.00                5.40                
PavardeNR98732           VardasNR98732       5.00                5.00                
PavardeNR21388           VardasNR21388       5.00                5.00                
PavardeNR5256            VardasNR5256        5.00                5.00                
PavardeNR84559           VardasNR84559       5.00                5.40                
PavardeNR82997           VardasNR82997       5.00                5.00                
PavardeNR34002           VardasNR34002       5.00                5.00                
PavardeNR23747           VardasNR23747       5.00                5.40                
PavardeNR45325           VardasNR45325       5.00                5.80                
PavardeNR46535           VardasNR46535       5.00                5.00                
PavardeNR46110           VardasNR46110       5.00                5.00                
PavardeNR15738           VardasNR15738       5.00                5.00                
PavardeNR19719           VardasNR19719       5.00                4.60                
PavardeNR16081           VardasNR16081       5.00                4.20                
PavardeNR48042           VardasNR48042       5.00                5.40                
PavardeNR2644            VardasNR2644        5.00                5.00                
PavardeNR57528           VardasNR57528       5.00                5.00                
PavardeNR71126           VardasNR71126       5.00                5.00                
PavardeNR92013           VardasNR92013       5.00                5.00                
PavardeNR62358           VardasNR62358       5.00                5.00                
PavardeNR71088           VardasNR71088       5.00                5.40                
PavardeNR53438           VardasNR53438       5.00                5.00                
PavardeNR12697           VardasNR12697       5.00                5.40                
PavardeNR53463           VardasNR53463       5.00                4.60                
PavardeNR57474           VardasNR57474       5.00                5.40                
PavardeNR77045           VardasNR77045       5.00                5.00                
PavardeNR47837           VardasNR47837       5.00                5.00                
PavardeNR28413           VardasNR28413       5.00                4.20                
PavardeNR84630           VardasNR84630       5.00                5.40                
PavardeNR11170           VardasNR11170       5.00                5.00                
PavardeNR73065           VardasNR73065       5.00                5.00                
PavardeNR22779           VardasNR22779       5.00                5.00                
PavardeNR41521           VardasNR41521       5.00                5.00                
PavardeNR89141           VardasNR89141       5.00                4.60                
PavardeNR87281           VardasNR87281       5.00                5.00                
PavardeNR87879           VardasNR87879       5.00                5.00                
PavardeNR57632           VardasNR57632       5.00                4.60                
PavardeNR98769           VardasNR98769       5.00                4.20                
PavardeNR18750           VardasNR18750       5.00                4.60                
PavardeNR92688           VardasNR92688       5.00                5.00                
PavardeNR74756           VardasNR74756       5.00                5.00                
PavardeNR79698           VardasNR79698       5.00                5.00                
PavardeNR23854           VardasNR23854       5.00                5.00                
PavardeNR11192           VardasNR11192       5.00                5.00                
PavardeNR10976           VardasNR10976       5.00                5.00                
PavardeNR76627           VardasNR76627       5.00                4.60                
PavardeNR87801           VardasNR87801       5.00                5.00                
PavardeNR82669           VardasNR82669       5.00                5.40                
PavardeNR45868           VardasNR45868       5.00                4.60                
PavardeNR52680           VardasNR52680       5.00                5.00                
PavardeNR22952           VardasNR22952       5.00                4.20                
PavardeNR45859           VardasNR45859       5.00                5.00                
PavardeNR5675            VardasNR5675        5.00                4.20                
PavardeNR74937           VardasNR74937       5.00                4.60                
PavardeNR92520           VardasNR92520       5.00                4.60                
PavardeNR7274            VardasNR7274        5.00                5.00                
PavardeNR66718           VardasNR66718       5.00                5.00                
PavardeNR45827           VardasNR45827       5.00                4.60                
PavardeNR98357           VardasNR98357       5.00                5.00                
PavardeNR64599           VardasNR64599       5.00                4.60                
PavardeNR20464           VardasNR20464       5.00                5.40                
PavardeNR64606           VardasNR64606       5.00                5.00                
PavardeNR33448           VardasNR33448       5.00                5.40                
PavardeNR73213           VardasNR73213       5.00                5.00                
PavardeNR40084           VardasNR40084       5.00                4.60                
PavardeNR12994           VardasNR12994       5.00                5.00                
PavardeNR58270           VardasNR58270       5.00                5.00                
PavardeNR67310           VardasNR67310       5.00                4.60                
PavardeNR52741           VardasNR52741       5.00                4.60                
PavardeNR94340           VardasNR94340       5.00                5.00                
PavardeNR3111            VardasNR3111        5.00                4.60                
PavardeNR75109           VardasNR75109       5.00                4.60                
PavardeNR94333           VardasNR94333       5.00                5.00                
PavardeNR26664           VardasNR26664       5.00                5.40                
PavardeNR71586           VardasNR71586       5.00                4.60                
PavardeNR71538           VardasNR71538       5.00                5.00                
PavardeNR64534           VardasNR64534       5.00                5.40                
PavardeNR59129           VardasNR59129       5.00                5.00                
PavardeNR760             VardasNR760         5.00                4.60                
PavardeNR18216           VardasNR18216       5.00                4.60                
PavardeNR86702           VardasNR86702       5.00                4.60                
PavardeNR62667           VardasNR62667       5.00                4.60                
PavardeNR95099           VardasNR95099       5.00                5.40                
PavardeNR5851            VardasNR5851        5.00                5.40                
PavardeNR98707           VardasNR98707       5.00                5.00                
PavardeNR28886           VardasNR28886       5.00                5.00                
PavardeNR41215           VardasNR41215       5.00                5.40                
PavardeNR57948           VardasNR57948       5.00                5.40                
PavardeNR57937           VardasNR57937       5.00                4.60                
PavardeNR66650           VardasNR66650       5.00                5.00                
PavardeNR57916           VardasNR57916       5.00                5.40                
PavardeNR57907           VardasNR57907       5.00                5.00                
PavardeNR28151           VardasNR28151       5.00                5.00                
PavardeNR50121           VardasNR50121       5.00                5.00                
PavardeNR94222           VardasNR94222       5.00                5.00                
PavardeNR4032            VardasNR4032        5.00                5.00                
PavardeNR64471           VardasNR64471       5.00                5.00                
PavardeNR84909           VardasNR84909       5.00                5.00                
PavardeNR49070           VardasNR49070       5.00                4.20                
PavardeNR745             VardasNR745         5.00                4.60                
PavardeNR66693           VardasNR66693       5.00                4.20                
PavardeNR29390           VardasNR29390       5.00                5.00                
PavardeNR37251           VardasNR37251       5.00                5.40                
PavardeNR71998           VardasNR71998       5.00                5.00                
PavardeNR22910           VardasNR22910       5.00                5.00                
PavardeNR71405           VardasNR71405       5.00                5.00                
PavardeNR3086            VardasNR3086        5.00                5.00                
PavardeNR73123           VardasNR73123       5.00                5.40                
PavardeNR28385           VardasNR28385       5.00                5.00                
PavardeNR74470           VardasNR74470       5.00                5.00                
PavardeNR94260           VardasNR94260       5.00                5.00                
PavardeNR57992           VardasNR57992       5.00                4.60                
PavardeNR82745           VardasNR82745       5.00                5.00                
PavardeNR92136           VardasNR92136       5.00                5.00                
PavardeNR66670           VardasNR66670       5.00                5.00                
PavardeNR79933           VardasNR79933       5.00                5.40                
PavardeNR31029           VardasNR31029       5.00                5.00                
PavardeNR7677            VardasNR7677        5.00                5.00                
PavardeNR36831           VardasNR36831       5.00                5.00                
PavardeNR66396           VardasNR66396       5.00                5.00                
PavardeNR48165           VardasNR48165       5.00                5.40                
PavardeNR58434           VardasNR58434       5.00                5.40                
PavardeNR33550           VardasNR33550       5.00                5.00                
PavardeNR29478           VardasNR29478       5.00                4.60                
PavardeNR16160           VardasNR16160       5.00                4.60                
PavardeNR26230           VardasNR26230       5.00                4.60                
PavardeNR50693           VardasNR50693       5.00                5.00                
PavardeNR1070            VardasNR1070        5.00                5.00                
PavardeNR49258           VardasNR49258       5.00                5.00                
PavardeNR96891           VardasNR96891       5.00                5.00                
PavardeNR21460           VardasNR21460       5.00                5.40                
PavardeNR57307           VardasNR57307       5.03                4.40                
PavardeNR97654           VardasNR97654       5.03                5.20                
PavardeNR78647           VardasNR78647       5.03                5.20                
PavardeNR63130           VardasNR63130       5.03                5.20                
PavardeNR6005            VardasNR6005        5.03                5.60                
PavardeNR59042           VardasNR59042       5.03                5.20                
PavardeNR21481           VardasNR21481       5.03                5.20                
PavardeNR54146           VardasNR54146       5.03                4.40                
PavardeNR30346           VardasNR30346       5.03                5.20                
PavardeNR22812           VardasNR22812       5.03                5.20                
PavardeNR12795           VardasNR12795       5.03                4.80                
PavardeNR528             VardasNR528         5.03                4.80                
PavardeNR72868           VardasNR72868       5.03                5.60                
PavardeNR95934           VardasNR95934       5.03                4.80                
PavardeNR11033           VardasNR11033       5.03                4.80                
PavardeNR13164           VardasNR13164       5.03                4.80                
PavardeNR80640           VardasNR80640       5.03                5.20                
PavardeNR79137           VardasNR79137       5.03                4.40                
PavardeNR33941           VardasNR33941       5.03                5.20                
PavardeNR44089           VardasNR44089       5.03                5.20                
PavardeNR13282           VardasNR13282       5.03                5.20                
PavardeNR48240           VardasNR48240       5.03                5.60                
PavardeNR90015           VardasNR90015       5.03                5.60                
PavardeNR95606           VardasNR95606       5.03                5.20                
PavardeNR46627           VardasNR46627       5.03                5.20                
PavardeNR27014           VardasNR27014       5.03                5.60                
PavardeNR65355           VardasNR65355       5.03                5.20                
PavardeNR58029           VardasNR58029       5.03                5.20                
PavardeNR53617           VardasNR53617       5.03                4.80                
PavardeNR61029           VardasNR61029       5.03                4.80                
PavardeNR31292           VardasNR31292       5.03                4.80                
PavardeNR11828           VardasNR11828       5.03                4.80                
PavardeNR42998           VardasNR42998       5.03                5.60                
PavardeNR50639           VardasNR50639       5.03                4.40                
PavardeNR89392           VardasNR89392       5.03                5.20                
PavardeNR19488           VardasNR19488       5.03                4.80                
PavardeNR8065            VardasNR8065        5.03                4.80                
PavardeNR71381           VardasNR71381       5.03                5.20                
PavardeNR7948            VardasNR7948        5.03                6.00                
